match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7029150145,104980742,74,TRUE,16,13,227,594,2,1,0.6226415,3,0,6,0,109.29347
7029150145,169370749,60,TRUE,9,11,167,485,0,0,0.6415094,1,0,4,0,9.192634
7029150145,100770879,83,TRUE,0,14,29,283,0,0,0.6037736,13,2,6,0,63.958443
7029150145,109475457,15,TRUE,21,7,431,797,3,0,0.6981132,0,1,7,0,36.056606
7029150145,159878894,123,TRUE,5,19,44,289,0,0,0.5660377,5,3,4,0,70.90053
7029150145,197091361,86,FALSE,7,15,97,369,0,0,0.59375,4,0,3,0,109.59624
7029150145,176519784,27,FALSE,8,12,110,395,4,0,0.578125,16,0,1,0,242.03763
7029150145,343833912,98,FALSE,18,10,263,580,1,0,0.671875,0,0,2,0,0
7029150145,NA,9,FALSE,24,8,240,611,3,1,0.734375,0,1,11,1,93.09692
7029150145,150550133,73,FALSE,7,8,429,817,1,1,0.5625,2,6,12,0,52.631794
