match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7024713194,NA,9,TRUE,7,7,111,384,0,1,0.6363636,9,0,5,0,84.03858
7024713194,NA,20,TRUE,7,8,54,343,0,0,0.7121212,13,1,2,0,100.67819
7024713194,109475457,18,TRUE,22,7,477,784,4,0,0.54545456,0,0,7,0,51.64623
7024713194,NA,102,TRUE,6,11,174,397,2,0,0.530303,0,1,7,0,2.107129
7024713194,NA,22,TRUE,22,1,329,658,2,0,0.7878788,2,1,13,0,24.463175
7024713194,NA,5,FALSE,3,13,105,317,0,0,0.6764706,11,0,4,0,69.62984
7024713194,NA,40,FALSE,4,19,116,321,0,0,0.61764705,8,1,6,1,16.52295
7024713194,NA,63,FALSE,4,12,344,487,0,1,0.38235295,3,0,9,0,0
7024713194,NA,25,FALSE,19,9,523,783,6,0,0.85294116,2,1,7,0,111.28106
7024713194,180377804,137,FALSE,4,13,212,392,0,0,0.64705884,0,0,3,0,75.62029
