match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7034058890,340947487,100,TRUE,9,9,55,318,0,0,0.68,5,2,4,0,36.396263
7034058890,1249741011,129,TRUE,9,5,195,489,0,0,0.74,0,0,3,0,53.98867
7034058890,109475457,15,TRUE,8,1,282,571,2,0,0.42,0,0,3,0,0
7034058890,93469911,30,TRUE,9,6,44,321,0,0,0.52,10,0,5,0,27.309357
7034058890,213184595,76,TRUE,15,9,195,568,2,1,0.54,3,1,7,1,122.51306
7034058890,208392073,83,FALSE,2,15,33,223,0,0,0.5714286,4,1,3,0,49.650513
7034058890,NA,123,FALSE,3,10,49,287,0,0,0.75,10,1,3,0,69.64252
7034058890,133685180,35,FALSE,15,5,214,559,1,0,0.8214286,2,4,4,0,0.2611621
7034058890,NA,97,FALSE,2,7,142,358,0,0,0.5714286,0,3,3,0,70.741455
7034058890,NA,93,FALSE,5,13,189,429,0,0,0.39285713,0,1,7,0,0
