match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7029534032,100770879,123,TRUE,7,5,87,363,1,0,0.4509804,2,3,1,0,66.585625
7029534032,169370749,50,TRUE,3,6,40,350,1,0,0.627451,17,3,8,1,32.05078
7029534032,109475457,15,TRUE,14,6,361,656,3,2,0.5294118,0,2,6,0,1.6054688
7029534032,241949351,21,TRUE,12,6,161,478,1,0,0.5882353,1,0,16,0,74.88611
7029534032,NA,104,TRUE,15,11,203,565,2,0,0.60784316,0,0,7,0,0
7029534032,NA,75,FALSE,2,16,30,209,1,0,0.47058824,5,0,0,0,0
7029534032,462281911,112,FALSE,7,10,55,257,0,0,0.5882353,8,1,3,0,35.53833
7029534032,NA,41,FALSE,8,9,198,449,0,0,0.5294118,0,0,2,0,25.846027
7029534032,89013086,47,FALSE,11,7,180,421,1,0,0.61764705,6,0,5,0,19.926514
7029534032,110942012,49,FALSE,4,9,109,286,0,0,0.5,0,0,2,0,71.12341
