match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7035736448,340947487,22,TRUE,21,10,334,561,0,0,0.82758623,2,0,13,1,51.52195
7035736448,100770879,83,TRUE,3,12,46,257,0,0,0.4827586,9,2,10,0,88.89636
7035736448,1249741011,129,TRUE,13,13,397,551,1,0,0.8448276,0,2,14,0,166.26584
7035736448,109475457,53,TRUE,18,10,591,720,7,3,0.7241379,0,0,10,0,130.64062
7035736448,169370749,71,TRUE,2,11,121,341,0,0,0.7586207,18,1,8,0,248.88286
7035736448,335021549,49,FALSE,17,7,703,760,2,1,0.8214286,0,3,7,0,109.6774
7035736448,NA,6,FALSE,6,14,668,639,2,1,0.5,0,1,5,0,0
7035736448,NA,30,FALSE,12,10,214,462,1,0,0.76785713,14,1,3,0,58.906628
7035736448,318863099,15,FALSE,12,8,575,649,1,0,0.8035714,2,0,9,0,0
7035736448,NA,100,FALSE,8,19,222,419,1,0,0.58928573,16,2,9,0,63.55142
