match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7035563106,340947487,9,TRUE,1,4,85,307,0,0,0.76,11,0,2,0,98.65765
7035563106,100770879,83,TRUE,1,11,23,197,0,0,0.48,6,0,5,0,40.33777
7035563106,1249741011,12,TRUE,8,8,332,646,0,0,0.52,1,0,3,0,0
7035563106,1348384147,2,TRUE,5,14,125,336,0,0,0.72,0,1,1,0,0
7035563106,222407063,74,TRUE,9,2,258,562,3,0,0.56,2,0,1,0,57.662533
7035563106,123890226,25,FALSE,11,3,439,710,2,0,0.5641026,2,1,21,0,34.136913
7035563106,373298632,14,FALSE,6,8,88,364,0,0,0.5897436,13,0,8,0,45.102997
7035563106,NA,44,FALSE,8,5,364,645,1,1,0.5641026,0,0,2,0,5.5206056
7035563106,290726392,86,FALSE,2,6,62,313,0,0,0.4871795,5,11,8,1,35.945915
7035563106,NA,45,FALSE,12,3,183,533,6,1,0.71794873,0,0,2,0,0
