match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7028004073,1039139640,101,TRUE,27,8,362,753,0,0,0.6125,1,1,8,0,22.697754
7028004073,100770879,83,TRUE,7,11,59,319,1,0,0.45,18,0,6,0,48.830322
7028004073,NA,21,TRUE,10,13,143,425,3,0,0.425,4,1,2,0,154.33182
7028004073,159878894,2,TRUE,8,18,209,464,0,1,0.425,1,0,2,0,0
7028004073,1249741011,63,TRUE,29,12,424,840,6,0,0.65,0,0,8,0,18.496288
7028004073,NA,45,FALSE,5,18,190,433,0,0,0.41935483,12,0,6,0,0
7028004073,NA,14,FALSE,3,18,155,337,0,0,0.24193548,2,0,9,0,51.095943
7028004073,NA,32,FALSE,21,14,400,700,4,0,0.58064514,0,0,7,0,46.455467
7028004073,130582903,70,FALSE,28,14,287,648,0,3,0.5967742,1,0,5,1,44.435448
7028004073,NA,25,FALSE,4,17,356,457,1,0,0.27419356,10,1,9,0,67.67886
