match_id,account_id,hero_id,isRadiant,kills,deaths,last_hits,gold_per_min,towers_killed,roshans_killed,teamfight_participation,obs_placed,camps_stacked,rune_pickups,firstblood_claimed,stuns
7033982162,340947487,57,TRUE,5,9,20,287,0,0,0.46341464,8,1,6,0,3.7386963
7033982162,1249741011,28,TRUE,14,10,165,469,0,0,0.73170733,0,1,4,0,116.93355
7033982162,109475457,53,TRUE,8,9,366,635,4,0,0.58536583,0,0,4,0,46.487843
7033982162,93469911,50,TRUE,2,12,58,267,0,0,0.5365854,7,0,7,1,38.015118
7033982162,213184595,35,TRUE,12,9,338,626,5,1,0.41463414,2,9,4,0,0.13338378
7033982162,55062067,90,FALSE,4,11,71,414,0,0,0.71428573,9,0,1,0,0
7033982162,19345099,6,FALSE,19,6,317,744,7,1,0.6938776,0,4,8,0,0
7033982162,39551161,20,FALSE,1,9,69,348,0,0,0.6938776,7,0,2,0,63.355564
7033982162,86715805,108,FALSE,11,11,250,601,2,0,0.81632656,0,3,3,0,174.27615
7033982162,368939895,39,FALSE,14,4,208,573,0,0,0.81632656,2,0,9,0,0
